N,fecha,Casos por fecha de inicio de síntomas,Casos por fecha de toma de muestra,Casos por fecha de emisión de resultados
147,2020-07-21,531,1076,1131
148,2020-07-22,504,1127,1073
149,2020-07-23,486,1048,1019
150,2020-07-24,527,1072,1272
151,2020-07-25,440,618,638
152,2020-07-26,379,315,261
153,2020-07-27,542,1264,1209
154,2020-07-28,512,1131,1179
155,2020-07-29,409,912,1271
156,2020-07-30,479,877,1000
157,2020-07-31,474,885,1163
158,2020-08-01,649,588,358
159,2020-08-02,375,411,227
160,2020-08-03,486,1129,788
161,2020-08-04,383,886,1143
162,2020-08-05,403,966,824
163,2020-08-06,379,768,943
164,2020-08-07,380,719,903
165,2020-08-08,400,533,420
166,2020-08-09,317,301,389
167,2020-08-10,560,859,996
168,2020-08-11,372,804,1151
169,2020-08-12,366,746,1233
170,2020-08-13,340,752,1144
171,2020-08-14,423,686,903
172,2020-08-15,401,475,337
173,2020-08-16,351,392,310
174,2020-08-17,449,909,909
175,2020-08-18,357,773,1043
176,2020-08-19,325,729,1124
177,2020-08-20,484,798,1052
178,2020-08-21,384,730,943
179,2020-08-22,378,413,331
180,2020-08-23,325,309,342
181,2020-08-24,359,844,1152
182,2020-08-25,369,754,1082
183,2020-08-26,318,775,1141
184,2020-08-27,320,684,1065
185,2020-08-28,352,710,749
186,2020-08-29,264,377,227
187,2020-08-30,270,237,166
188,2020-08-31,351,729,813
189,2020-09-01,429,697,724
190,2020-09-02,328,633,681
191,2020-09-03,315,663,670
192,2020-09-04,372,511,441
193,2020-09-05,327,361,189
194,2020-09-06,312,220,146
