Fechas,a,b,Total de contagiados
2021-01-26,346,708,1048
2021-01-27,280,653,1132
2021-01-28,236,696,756
2021-01-29,308,595,801
2021-01-30,245,416,394
2021-01-31,209,292,138
2021-02-01,407,652,679
2021-02-02,291,552,668
2021-02-03,291,530,683
2021-02-04,256,558,668
2021-02-05,285,585,644
2021-02-06,232,383,226
2021-02-07,277,284,106
2021-02-08,312,655,776
2021-02-09,219,601,804
2021-02-10,323,563,818
2021-02-11,231,522,751
2021-02-12,291,535,831
2021-02-13,250,295,175
2021-02-14,274,238,131
2021-02-15,347,601,701
2021-02-16,216,584,769
2021-02-17,222,543,742
2021-02-18,215,557,683
2021-02-19,265,535,670
2021-02-20,311,290,242
2021-02-21,231,231,127
2021-02-22,304,638,833
2021-02-23,272,593,692
2021-02-24,213,484,743
2021-02-25,253,571,670
2021-02-26,273,553,520
2021-02-27,262,363,190
2021-02-28,391,318,155
2021-03-01,510,766,752
2021-03-02,356,676,826
2021-03-03,306,617,643
2021-03-04,301,692,814
2021-03-05,396,703,647
2021-03-06,374,396,239
2021-03-07,357,310,216
2021-03-08,477,847,809
2021-03-09,395,743,815
2021-03-10,558,775,755
2021-03-11,428,832,871
2021-03-12,473,902,727
2021-03-13,464,494,223
2021-03-14,451,391,144
2021-03-15,674,1140,946
